Changing Variable,mean_neg_dwell_time,mean_pos_dwell_time,pos_time_fraction,neg_time_fraction,pos_fraction + neg_fraction,p,sigma,B,x0,y0,z0,steps,dt
33,1.5347777778041958,1.551645061755019,0.5027324972674891,0.49726750273251086,1.0,33,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
33,1.5071171711376736,1.4891431995462672,0.4970755029244985,0.5029244970755015,1.0,33,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
34,1.4427864506874712,1.5027245950185248,0.5101744898255317,0.48982551017446835,1.0,34,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
34,1.5169096385803622,1.4946913580503023,0.4963865036134711,0.503613496386529,1.0,34,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
34,1.4815767511434852,1.499052160979274,0.5029314970684061,0.4970685029315939,1.0,34,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
34,1.4704433204656902,1.504864623649709,0.5057844942154807,0.4942155057845193,1.0,34,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
34,1.5032699732958952,1.4667359667610862,0.49384950615046447,0.5061504938495355,1.0,34,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
34,1.4685332541820053,1.500145443777638,0.5053984946015061,0.4946015053984939,1.0,34,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
35,1.4877591777053258,1.4486758661436354,0.4934185065815359,0.5065814934184641,1.0,35,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
35,1.4703786982500473,1.4882041420374843,0.5030124969875281,0.4969875030124719,1.0,35,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
35,1.4725066352362113,1.4760436321007855,0.5006734993264828,0.4993265006735173,1.0,35,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
35,1.4663305979149026,1.4645046893570366,0.49968850031153306,0.5003114996884669,1.0,35,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
35,1.4844235925189213,1.4944295502191949,0.5016794983204638,0.4983205016795363,1.0,35,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
35,1.439953596312366,1.4602813225309799,0.5035044964955323,0.4964955035044677,1.0,35,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
36,1.4559035797017017,1.4305223665469442,0.4956755043244933,0.5043244956755066,1.0,36,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
36,1.45623117036119,1.4406431054707498,0.49730950269045354,0.5026904973095465,1.0,36,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
36,1.443981614503551,1.428758977329789,0.4973505026494497,0.5026494973505503,1.0,36,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
36,1.4665004400372508,1.46648387099263,0.5000704999293929,0.4999295000706071,1.0,36,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
36,1.4406025825213158,1.4284308663468361,0.4979505020494474,0.5020494979505525,1.0,36,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
36,1.4337648078835499,1.4555764230242387,0.5037744962255352,0.4962255037744649,1.0,36,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
37,1.4504873803555205,1.4505889179246816,0.5000174999825446,0.4999825000174553,1.0,37,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
37,1.407321676404934,1.3677663707227743,0.4929425070575093,0.5070574929424907,1.0,37,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
37,1.4297332576863226,1.407954029536111,0.49616250383749483,0.5038374961625052,1.0,37,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
37,1.4155690141088928,1.40133521129163,0.49747350252647676,0.5025264974735233,1.0,37,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
37,1.4144980147719384,1.4215796937283045,0.5012484987514871,0.49875150124851286,1.0,37,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
37,1.3929392080551244,1.3952969055160804,0.5004924995075173,0.49950750049248277,1.0,37,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
38,1.3599890948979398,1.366294983665816,0.5011564988435098,0.4988435011564902,1.0,38,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
38,1.38798839460801,1.3752086211896846,0.4976875023124914,0.5023124976875086,1.0,38,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
38,1.4006692803378251,1.399277715589441,0.49982150017845833,0.5001784998215416,1.0,38,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
38,1.4071895787382336,1.3640537545259934,0.49228650771346305,0.507713492286537,1.0,38,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
38,1.3771471719071844,1.368223991239608,0.4984435015565215,0.5015564984434785,1.0,38,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
38,1.35615763549126,1.3805719759405564,0.5044604955395142,0.4955395044604857,1.0,38,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
39,1.411138750715072,1.352822001129001,0.4894505105495505,0.5105494894504494,1.0,39,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
39,1.3382276773901292,1.3590075512639286,0.5039194960805085,0.49608050391949154,1.0,39,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
39,1.330063965907824,1.3348281375128435,0.5009604990394617,0.49903950096053823,1.0,39,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
39,1.3521831937545319,1.3494273365981453,0.4995575004425477,0.5004424995574523,1.0,39,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
39,1.3662119967365576,1.372766365403091,0.5011964988035563,0.4988035011964437,1.0,39,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
39,1.3559007904291518,1.3692670299965393,0.5025204974795963,0.49747950252040374,1.0,39,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
